School,Sport,Division,Conference,Roster URL 2024 (candidate),Method,Roster URL 2025 (known good),2025 Player Count,Status,Notes
Abilene Christian,womens-soccer,NCAA D1,UAC,https://acusports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251102230855/https://acusports.com/sports/womens-soccer/roster,25,todo,
Adams State,mens-soccer,NCAA D2,RMAC,https://asugrizzlies.com/sports/mens-soccer/roster/2024,year-swap (direct),https://asugrizzlies.com/sports/mens-soccer/roster/2025,40,todo,
Adams State,womens-soccer,NCAA D2,Rocky Mountain Athletic Conference,https://asugrizzlies.com/sports/womens-soccer/roster/2024,year-swap (direct),https://asugrizzlies.com/sports/womens-soccer/roster/2025,28,todo,
Adelphi,mens-soccer,NCAA D2,Northeast-10,https://aupanthers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://aupanthers.com/sports/mens-soccer/roster/2025,32,todo,
Adelphi,womens-soccer,NCAA D2,Northeast-10 Conference,https://aupanthers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://aupanthers.com/sports/womens-soccer/roster/2025,25,todo,
Adrian,mens-soccer,NCAA D3,MIAA-D3,https://adrianbulldogs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://adrianbulldogs.com/sports/mens-soccer/roster/2025,32,todo,
Adrian College,womens-soccer,NCAA D3,Michigan Intercollegiate Athletic Association,https://adrianbulldogs.com/sports/womens-soccer/roster/2024,year-swap (direct),https://adrianbulldogs.com/sports/womens-soccer/roster/2025,27,todo,
Agnes Scott College,womens-soccer,NCAA D3,Collegiate Conference of the South,https://ascscotties.com/sports/womens-soccer/roster/2024,year-swap (direct),https://ascscotties.com/sports/womens-soccer/roster/2025,23,todo,
Air Force,mens-soccer,NCAA D1,Mountain West,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goairforcefalcons.com/sports/mens-soccer/roster/2025,24,todo,
Air Force,womens-soccer,NCAA D1,Mountain West,https://goairforcefalcons.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://goairforcefalcons.com/sports/womens-soccer/roster,32,todo,
Akron,mens-soccer,NCAA D1,MAC,https://gozips.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gozips.com/sports/mens-soccer/roster/2025,29,todo,
